lok,HAVOMR,Lokasjon,LOKREF,geometry
0011,00,11,00-11,"POLYGON ((14 67.5, 14 67.58333333333333, 14 67.66666666666666, 14 67.75, 14 67.83333333333333, 14.09333333333333 67.86666666666666, 14.18666666666667 67.89999999999999, 14.28 67.93333333333334, 14.37333333333333 67.96666666666667, 14.46666666666667 68, 14.55952380952381 68, 14.65238095238095 68, 14.7452380952381 68, 14.83809523809524 68, 14.93095238095238 68, 15.02380952380952 68, 15.11666666666667 68, 15.05833333333333 67.94166666666666, 15 67.88333333333334, 15.09166666666667 67.875, 15.18333333333333 67.86666666666666, 15.18333333333333 67.8, 15.18333333333333 67.73333333333333, 15.1 67.72, 15.01666666666667 67.70666666666666, 14.93333333333333 67.69333333333334, 14.85 67.68000000000001, 14.76666666666667 67.66666666666667, 14.76666666666667 67.58333333333334, 14.76666666666667 67.5, 14.67083333333333 67.5, 14.575 67.5, 14.47916666666667 67.5, 14.38333333333333 67.5, 14.2875 67.5, 14.19166666666667 67.5, 14.09583333333333 67.5, 14 67.5))"
0051,00,51,00-51,"POLYGON ((16.5 67.75, 16.5 67.66666666666667, 16.5 67.58333333333333, 16.5 67.5, 16.5 67.41666666666667, 16.5 67.33333333333333, 16.5 67.25, 16.40909090909091 67.25, 16.31818181818182 67.25, 16.22727272727273 67.25, 16.13636363636364 67.25, 16.04545454545455 67.25, 15.95454545454546 67.25, 15.86363636363636 67.25, 15.77272727272727 67.25, 15.68181818181818 67.25, 15.59090909090909 67.25, 15.5 67.25, 15.41333333333333 67.27333333333333, 15.32666666666667 67.29666666666667, 15.24 67.31999999999999, 15.15333333333333 67.34333333333333, 15.06666666666667 67.36666666666666, 15.06666666666667 67.41666666666666, 15.06666666666667 67.46666666666667, 14.99166666666667 67.47499999999999, 14.91666666666667 67.48333333333333, 14.84166666666667 67.49166666666667, 14.76666666666667 67.5, 14.76666666666667 67.58333333333334, 14.76666666666667 67.66666666666667, 14.85 67.68000000000001, 14.93333333333333 67.69333333333334, 15.01666666666667 67.70666666666666, 15.1 67.72, 15.18333333333333 67.73333333333333, 15.26111111111111 67.78333333333333, 15.33888888888889 67.83333333333334, 15.41666666666667 67.88333333333334, 15.51388888888889 67.86111111111111, 15.61111111111111 67.83888888888889, 15.70833333333333 67.81666666666666, 15.80555555555556 67.79444444444445, 15.90277777777778 67.77222222222223, 16 67.75, 16.08333333333333 67.75, 16.16666666666667 67.75, 16.25 67.75, 16.33333333333333 67.75, 16.41666666666667 67.75, 16.5 67.75))"
0048,00,48,00-48,"POLYGON ((14 68, 13.90476190476191 68, 13.80952380952381 68, 13.71428571428572 68, 13.61904761904762 68, 13.52380952380952 68, 13.42857142857143 68, 13.33333333333333 68, 13.33333333333333 68.05, 13.38333333333333 68.05, 13.38333333333333 68.11666666666666, 13.47142857142857 68.13095238095238, 13.55952380952381 68.14523809523808, 13.64761904761905 68.1595238095238, 13.73571428571429 68.17380952380952, 13.82380952380952 68.18809523809524, 13.91190476190476 68.20238095238095, 14 68.21666666666667, 14 68.14444444444445, 14 68.07222222222222, 14 68))"
0046,00,46,00-46,"POLYGON ((14 68, 14 68.07222222222222, 14 68.14444444444445, 14 68.21666666666667, 14.06666666666667 68.23333333333333, 14.13333333333333 68.25, 14.2 68.26666666666667, 14.28333333333333 68.26666666666667, 14.36666666666667 68.26666666666667, 14.45416666666667 68.28749999999999, 14.54166666666667 68.30833333333334, 14.62916666666667 68.32916666666667, 14.71666666666667 68.34999999999999, 14.8 68.35416666666666, 14.88333333333333 68.35833333333332, 14.96666666666667 68.3625, 15.05 68.36666666666666, 15.11666666666667 68.36666666666666, 15.08333333333333 68.31666666666666, 15.05 68.26666666666667, 15.03333333333333 68.17777777777778, 15.01666666666667 68.08888888888889, 15 68, 14.90909090909091 68, 14.81818181818182 68, 14.72727272727273 68, 14.63636363636364 68, 14.54545454545454 68, 14.45454545454546 68, 14.36363636363636 68, 14.27272727272727 68, 14.18181818181818 68, 14.09090909090909 68, 14 68))"
0044,00,44,00-44,"POLYGON ((15 68, 15.01666666666667 68.08888888888889, 15.03333333333333 68.17777777777778, 15.05 68.26666666666667, 15.08333333333333 68.31666666666666, 15.11666666666667 68.36666666666666, 15.2 68.36666666666666, 15.27083333333333 68.39166666666667, 15.34166666666667 68.41666666666666, 15.4125 68.44166666666666, 15.48333333333333 68.46666666666667, 15.51666666666667 68.5, 15.53333333333333 68.51666666666667, 15.62291666666667 68.51666666666667, 15.7125 68.51666666666667, 15.80208333333333 68.51666666666667, 15.89166666666667 68.51666666666667, 15.98125 68.51666666666667, 16.07083333333333 68.51666666666667, 16.16041666666667 68.51666666666667, 16.25 68.51666666666667, 16.25 68.5, 16.28333333333333 68.43333333333334, 16.21666666666667 68.40833333333333, 16.15 68.38333333333334, 16.15 68.33333333333333, 16.2 68.31666666666666, 16.25 68.3, 16.16666666666667 68.28333333333333, 16.08333333333333 68.26666666666667, 16 68.25, 16 68.16666666666666, 16 68.08333333333333, 15.9125 68.07499999999999, 15.825 68.06666666666666, 15.7375 68.05833333333334, 15.65 68.05, 15.59166666666667 68.06666666666666, 15.53333333333333 68.08333333333333, 15.45555555555556 68.07222222222222, 15.37777777777778 68.0611111111111, 15.3 68.05, 15.23333333333333 68.01666666666667, 15.21666666666667 68, 15.11666666666667 68, 15.05833333333333 68, 15 68))"
0045,00,45,00-45,"POLYGON ((16 67.75, 15.90277777777778 67.77222222222223, 15.80555555555556 67.79444444444445, 15.70833333333333 67.81666666666666, 15.61111111111111 67.83888888888889, 15.51388888888889 67.86111111111111, 15.41666666666667 67.88333333333334, 15.33888888888889 67.83333333333334, 15.26111111111111 67.78333333333333, 15.18333333333333 67.73333333333333, 15.18333333333333 67.8, 15.18333333333333 67.86666666666666, 15.09166666666667 67.875, 15 67.88333333333334, 15.05833333333333 67.94166666666666, 15.11666666666667 68, 15.21666666666667 68, 15.23333333333333 68.01666666666667, 15.3 68.05, 15.37777777777778 68.0611111111111, 15.45555555555556 68.07222222222222, 15.53333333333333 68.08333333333333, 15.59166666666667 68.06666666666666, 15.65 68.05, 15.7375 68.05833333333334, 15.825 68.06666666666666, 15.9125 68.07499999999999, 16 68.08333333333333, 16 68, 16 67.91666666666666, 16 67.83333333333333, 16 67.75))"
0038,00,38,00-38,"POLYGON ((16 67.75, 16 67.83333333333333, 16 67.91666666666667, 16 68, 16 68.08333333333333, 16 68.16666666666667, 16 68.25, 16.08333333333333 68.26666666666667, 16.16666666666667 68.28333333333333, 16.25 68.3, 16.33333333333333 68.27380952380952, 16.41666666666667 68.24761904761904, 16.5 68.22142857142856, 16.58333333333333 68.1952380952381, 16.66666666666666 68.16904761904762, 16.75 68.14285714285714, 16.83333333333333 68.11666666666666, 16.76666666666667 68.04333333333332, 16.7 67.97, 16.63333333333333 67.89666666666666, 16.56666666666667 67.82333333333334, 16.5 67.75, 16.41666666666667 67.75, 16.33333333333333 67.75, 16.25 67.75, 16.16666666666667 67.75, 16.08333333333333 67.75, 16 67.75))"
0037,00,37,00-37,"POLYGON ((16.83333333333333 68.11666666666666, 16.75 68.14285714285714, 16.66666666666666 68.16904761904762, 16.58333333333333 68.1952380952381, 16.5 68.22142857142856, 16.41666666666667 68.24761904761904, 16.33333333333333 68.27380952380952, 16.25 68.3, 16.2 68.31666666666666, 16.15 68.33333333333333, 16.15 68.38333333333334, 16.21666666666667 68.40833333333333, 16.28333333333333 68.43333333333334, 16.25 68.5, 16.34523809523809 68.5, 16.44047619047619 68.5, 16.53571428571428 68.5, 16.63095238095238 68.5, 16.72619047619048 68.5, 16.82142857142857 68.5, 16.91666666666667 68.5, 16.91666666666667 68.58333333333333, 17.01515151515152 68.58333333333333, 17.11363636363636 68.58333333333333, 17.21212121212121 68.58333333333333, 17.31060606060606 68.58333333333333, 17.40909090909091 68.58333333333333, 17.50757575757576 68.58333333333333, 17.60606060606061 68.58333333333333, 17.70454545454545 68.58333333333333, 17.8030303030303 68.58333333333333, 17.90151515151515 68.58333333333333, 18 68.58333333333333, 18 68.48999999999999, 18 68.39666666666666, 18 68.30333333333333, 18 68.20999999999999, 18 68.11666666666666, 17.90277777777778 68.11666666666666, 17.80555555555556 68.11666666666666, 17.70833333333333 68.11666666666666, 17.61111111111111 68.11666666666666, 17.51388888888889 68.11666666666666, 17.41666666666666 68.11666666666666, 17.31944444444444 68.11666666666666, 17.22222222222222 68.11666666666666, 17.125 68.11666666666666, 17.02777777777778 68.11666666666666, 16.93055555555555 68.11666666666666, 16.83333333333333 68.11666666666666))"
0101,01,01,01-01,"POLYGON ((40 67, 40 67.09090909090909, 40 67.18181818181819, 40 67.27272727272727, 40 67.36363636363636, 40 67.45454545454545, 40 67.54545454545455, 40 67.63636363636364, 40 67.72727272727273, 40 67.81818181818181, 40 67.90909090909091, 40 68, 40.09523809523809 68, 40.19047619047619 68, 40.28571428571428 68, 40.38095238095238 68, 40.47619047619047 68, 40.57142857142857 68, 40.66666666666666 68, 40.76190476190476 68, 40.85714285714285 68, 40.95238095238095 68, 41.04761904761905 68, 41.14285714285715 68, 41.23809523809524 68, 41.33333333333334 68, 41.42857142857143 68, 41.52380952380953 68, 41.61904761904762 68, 41.71428571428572 68, 41.80952380952381 68, 41.90476190476191 68, 42 68, 42 67.90909090909091, 42 67.81818181818181, 42 67.72727272727273, 42 67.63636363636364, 42 67.54545454545455, 42 67.45454545454545, 42 67.36363636363636, 42 67.27272727272727, 42 67.18181818181819, 42 67.09090909090909, 42 67, 41.90476190476191 67, 41.80952380952381 67, 41.71428571428572 67, 41.61904761904762 67, 41.52380952380953 67, 41.42857142857143 67, 41.33333333333334 67, 41.23809523809524 67, 41.14285714285715 67, 41.04761904761905 67, 40.95238095238095 67, 40.85714285714285 67, 40.76190476190476 67, 40.66666666666666 67, 40.57142857142857 67, 40.47619047619047 67, 40.38095238095238 67, 40.28571428571428 67, 40.19047619047619 67, 40.09523809523809 67, 40 67))"
0103,01,03,01-03,"POLYGON ((42 67, 42 67.09090909090909, 42 67.18181818181819, 42 67.27272727272727, 42 67.36363636363636, 42 67.45454545454545, 42 67.54545454545455, 42 67.63636363636364, 42 67.72727272727273, 42 67.81818181818181, 42 67.90909090909091, 42 68, 42.09677419354838 68, 42.19354838709678 68, 42.29032258064516 68, 42.38709677419355 68, 42.48387096774194 68, 42.58064516129032 68, 42.67741935483871 68, 42.7741935483871 68, 42.87096774193548 68, 42.96774193548387 68, 43.06451612903226 68, 43.16129032258065 68, 43.25806451612903 68, 43.35483870967742 68, 43.45161290322581 68, 43.54838709677419 68, 43.64516129032258 68, 43.74193548387097 68, 43.83870967741935 68, 43.93548387096774 68, 44.03225806451613 68, 44.12903225806451 68, 44.2258064516129 68, 44.32258064516129 68, 44.41935483870968 68, 44.51612903225806 68, 44.61290322580645 68, 44.70967741935484 68, 44.80645161290322 68, 44.90322580645162 68, 45 68, 45 67.90909090909091, 45 67.81818181818181, 45 67.72727272727273, 45 67.63636363636364, 45 67.54545454545455, 45 67.45454545454545, 45 67.36363636363636, 45 67.27272727272727, 45 67.18181818181819, 45 67.09090909090909, 45 67, 44.90322580645162 67, 44.80645161290322 67, 44.70967741935484 67, 44.61290322580645 67, 44.51612903225806 67, 44.41935483870968 67, 44.32258064516129 67, 44.2258064516129 67, 44.12903225806452 67, 44.03225806451613 67, 43.93548387096774 67, 43.83870967741935 67, 43.74193548387097 67, 43.64516129032258 67, 43.54838709677419 67, 43.45161290322581 67, 43.35483870967742 67, 43.25806451612903 67, 43.16129032258065 67, 43.06451612903226 67, 42.96774193548387 67, 42.87096774193549 67, 42.7741935483871 67, 42.67741935483871 67, 42.58064516129032 67, 42.48387096774194 67, 42.38709677419355 67, 42.29032258064516 67, 42.19354838709678 67, 42.09677419354838 67, 42 67))"
0104,01,04,01-04,"POLYGON ((45 67, 45 67.09090909090909, 45 67.18181818181819, 45 67.27272727272727, 45 67.36363636363636, 45 67.45454545454545, 45 67.54545454545455, 45 67.63636363636364, 45 67.72727272727273, 45 67.81818181818181, 45 67.90909090909091, 45 68, 45.09803921568628 68, 45.19607843137255 68, 45.29411764705883 68, 45.3921568627451 68, 45.49019607843137 68, 45.58823529411764 68, 45.68627450980392 68, 45.78431372549019 68, 45.88235294117647 68, 45.98039215686274 68, 46.07843137254902 68, 46.1764705882353 68, 46.27450980392157 68, 46.37254901960785 68, 46.47058823529412 68, 46.56862745098039 68, 46.66666666666666 68, 46.76470588235294 68, 46.86274509803921 68, 46.96078431372549 68, 47.05882352941177 68, 47.15686274509804 68, 47.25490196078432 68, 47.35294117647059 68, 47.45098039215686 68, 47.54901960784314 68, 47.64705882352941 68, 47.74509803921568 68, 47.84313725490196 68, 47.94117647058823 68, 48.03921568627451 68, 48.13725490196079 68, 48.23529411764706 68, 48.33333333333334 68, 48.43137254901961 68, 48.52941176470588 68, 48.62745098039215 68, 48.72549019607843 68, 48.8235294117647 68, 48.92156862745098 68, 49.01960784313725 68, 49.11764705882353 68, 49.21568627450981 68, 49.31372549019608 68, 49.41176470588236 68, 49.50980392156863 68, 49.6078431372549 68, 49.70588235294117 68, 49.80392156862745 68, 49.90196078431372 68, 50 68, 50 67.90909090909091, 50 67.81818181818181, 50 67.72727272727273, 50 67.63636363636364, 50 67.54545454545455, 50 67.45454545454545, 50 67.36363636363636, 50 67.27272727272727, 50 67.18181818181819, 50 67.09090909090909, 50 67, 49.90196078431372 67, 49.80392156862745 67, 49.70588235294117 67, 49.6078431372549 67, 49.50980392156863 67, 49.41176470588236 67, 49.31372549019608 67, 49.21568627450981 67, 49.11764705882353 67, 49.01960784313726 67, 48.92156862745098 67, 48.8235294117647 67, 48.72549019607843 67, 48.62745098039215 67, 48.52941176470588 67, 48.43137254901961 67, 48.33333333333334 67, 48.23529411764706 67, 48.13725490196079 67, 48.03921568627451 67, 47.94117647058823 67, 47.84313725490196 67, 47.74509803921568 67, 47.64705882352941 67, 47.54901960784314 67, 47.45098039215686 67, 47.35294117647059 67, 47.25490196078432 67, 47.15686274509804 67, 47.05882352941177 67, 46.96078431372549 67, 46.86274509803921 67, 46.76470588235294 67, 46.66666666666666 67, 46.56862745098039 67, 46.47058823529412 67, 46.37254901960785 67, 46.27450980392157 67, 46.1764705882353 67, 46.07843137254902 67, 45.98039215686275 67, 45.88235294117647 67, 45.78431372549019 67, 45.68627450980392 67, 45.58823529411764 67, 45.49019607843137 67, 45.3921568627451 67, 45.29411764705883 67, 45.19607843137255 67, 45.09803921568628 67, 45 67))"
0105,01,05,01-05,"POLYGON ((40 68, 40 68.09090909090909, 40 68.18181818181819, 40 68.27272727272727, 40 68.36363636363636, 40 68.45454545454545, 40 68.54545454545455, 40 68.63636363636364, 40 68.72727272727273, 40 68.81818181818181, 40 68.90909090909091, 40 69, 40.09523809523809 69, 40.19047619047619 69, 40.28571428571428 69, 40.38095238095238 69, 40.47619047619047 69, 40.57142857142857 69, 40.66666666666666 69, 40.76190476190476 69, 40.85714285714285 69, 40.95238095238095 69, 41.04761904761905 69, 41.14285714285715 69, 41.23809523809524 69, 41.33333333333334 69, 41.42857142857143 69, 41.52380952380953 69, 41.61904761904762 69, 41.71428571428572 69, 41.80952380952381 69, 41.90476190476191 69, 42 69, 42 68.90909090909091, 42 68.81818181818181, 42 68.72727272727273, 42 68.63636363636364, 42 68.54545454545455, 42 68.45454545454545, 42 68.36363636363636, 42 68.27272727272727, 42 68.18181818181819, 42 68.09090909090909, 42 68, 41.90476190476191 68, 41.80952380952381 68, 41.71428571428572 68, 41.61904761904762 68, 41.52380952380953 68, 41.42857142857143 68, 41.33333333333334 68, 41.23809523809524 68, 41.14285714285715 68, 41.04761904761905 68, 40.95238095238095 68, 40.85714285714285 68, 40.76190476190476 68, 40.66666666666666 68, 40.57142857142857 68, 40.47619047619047 68, 40.38095238095238 68, 40.28571428571428 68, 40.19047619047619 68, 40.09523809523809 68, 40 68))"
0106,01,06,01-06,"POLYGON ((42 68, 42 68.09090909090909, 42 68.18181818181819, 42 68.27272727272727, 42 68.36363636363636, 42 68.45454545454545, 42 68.54545454545455, 42 68.63636363636364, 42 68.72727272727273, 42 68.81818181818181, 42 68.90909090909091, 42 69, 42.09523809523809 69, 42.19047619047619 69, 42.28571428571428 69, 42.38095238095238 69, 42.47619047619047 69, 42.57142857142857 69, 42.66666666666666 69, 42.76190476190476 69, 42.85714285714285 69, 42.95238095238095 69, 43.04761904761905 69, 43.14285714285715 69, 43.23809523809524 69, 43.33333333333334 69, 43.42857142857143 69, 43.52380952380953 69, 43.61904761904762 69, 43.71428571428572 69, 43.80952380952381 69, 43.90476190476191 69, 44 69, 44 68.90909090909091, 44 68.81818181818181, 44 68.72727272727273, 44 68.63636363636364, 44 68.54545454545455, 44 68.45454545454545, 44 68.36363636363636, 44 68.27272727272727, 44 68.18181818181819, 44 68.09090909090909, 44 68, 43.90476190476191 68, 43.80952380952381 68, 43.71428571428572 68, 43.61904761904762 68, 43.52380952380953 68, 43.42857142857143 68, 43.33333333333334 68, 43.23809523809524 68, 43.14285714285715 68, 43.04761904761905 68, 42.95238095238095 68, 42.85714285714285 68, 42.76190476190476 68, 42.66666666666666 68, 42.57142857142857 68, 42.47619047619047 68, 42.38095238095238 68, 42.28571428571428 68, 42.19047619047619 68, 42.09523809523809 68, 42 68))"
