lok,HAVOMR,Lokasjon,LOKREF,geometry
1403,14,03,14-03,"POLYGON ((44 72, 44 72.09090909090909, 44 72.18181818181819, 44 72.27272727272727, 44 72.36363636363636, 44 72.45454545454545, 44 72.54545454545455, 44 72.63636363636364, 44 72.72727272727273, 44 72.81818181818181, 44 72.90909090909091, 44 73, 44.09523809523809 73, 44.19047619047619 73, 44.28571428571428 73, 44.38095238095238 73, 44.47619047619047 73, 44.57142857142857 73, 44.66666666666666 73, 44.76190476190476 73, 44.85714285714285 73, 44.95238095238095 73, 45.04761904761905 73, 45.14285714285715 73, 45.23809523809524 73, 45.33333333333334 73, 45.42857142857143 73, 45.52380952380953 73, 45.61904761904762 73, 45.71428571428572 73, 45.80952380952381 73, 45.90476190476191 73, 46 73, 46 72.90909090909091, 46 72.81818181818181, 46 72.72727272727273, 46 72.63636363636364, 46 72.54545454545455, 46 72.45454545454545, 46 72.36363636363636, 46 72.27272727272727, 46 72.18181818181819, 46 72.09090909090909, 46 72, 45.90476190476191 72, 45.80952380952381 72, 45.71428571428572 72, 45.61904761904762 72, 45.52380952380953 72, 45.42857142857143 72, 45.33333333333334 72, 45.23809523809524 72, 45.14285714285715 72, 45.04761904761905 72, 44.95238095238095 72, 44.85714285714285 72, 44.76190476190476 72, 44.66666666666666 72, 44.57142857142857 72, 44.47619047619047 72, 44.38095238095238 72, 44.28571428571428 72, 44.19047619047619 72, 44.09523809523809 72, 44 72))"
1404,14,04,14-04,"POLYGON ((46 72, 46 72.09090909090909, 46 72.18181818181819, 46 72.27272727272727, 46 72.36363636363636, 46 72.45454545454545, 46 72.54545454545455, 46 72.63636363636364, 46 72.72727272727273, 46 72.81818181818181, 46 72.90909090909091, 46 73, 46.09523809523809 73, 46.19047619047619 73, 46.28571428571428 73, 46.38095238095238 73, 46.47619047619047 73, 46.57142857142857 73, 46.66666666666666 73, 46.76190476190476 73, 46.85714285714285 73, 46.95238095238095 73, 47.04761904761905 73, 47.14285714285715 73, 47.23809523809524 73, 47.33333333333334 73, 47.42857142857143 73, 47.52380952380953 73, 47.61904761904762 73, 47.71428571428572 73, 47.80952380952381 73, 47.90476190476191 73, 48 73, 48 72.90909090909091, 48 72.81818181818181, 48 72.72727272727273, 48 72.63636363636364, 48 72.54545454545455, 48 72.45454545454545, 48 72.36363636363636, 48 72.27272727272727, 48 72.18181818181819, 48 72.09090909090909, 48 72, 47.90476190476191 72, 47.80952380952381 72, 47.71428571428572 72, 47.61904761904762 72, 47.52380952380953 72, 47.42857142857143 72, 47.33333333333334 72, 47.23809523809524 72, 47.14285714285715 72, 47.04761904761905 72, 46.95238095238095 72, 46.85714285714285 72, 46.76190476190476 72, 46.66666666666666 72, 46.57142857142857 72, 46.47619047619047 72, 46.38095238095238 72, 46.28571428571428 72, 46.19047619047619 72, 46.09523809523809 72, 46 72))"
1405,14,05,14-05,"POLYGON ((48 72, 48 72.09090909090909, 48 72.18181818181819, 48 72.27272727272727, 48 72.36363636363636, 48 72.45454545454545, 48 72.54545454545455, 48 72.63636363636364, 48 72.72727272727273, 48 72.81818181818181, 48 72.90909090909091, 48 73, 48.09523809523809 73, 48.19047619047619 73, 48.28571428571428 73, 48.38095238095238 73, 48.47619047619047 73, 48.57142857142857 73, 48.66666666666666 73, 48.76190476190476 73, 48.85714285714285 73, 48.95238095238095 73, 49.04761904761905 73, 49.14285714285715 73, 49.23809523809524 73, 49.33333333333334 73, 49.42857142857143 73, 49.52380952380953 73, 49.61904761904762 73, 49.71428571428572 73, 49.80952380952381 73, 49.90476190476191 73, 50 73, 50 72.90909090909091, 50 72.81818181818181, 50 72.72727272727273, 50 72.63636363636364, 50 72.54545454545455, 50 72.45454545454545, 50 72.36363636363636, 50 72.27272727272727, 50 72.18181818181819, 50 72.09090909090909, 50 72, 49.90476190476191 72, 49.80952380952381 72, 49.71428571428572 72, 49.61904761904762 72, 49.52380952380953 72, 49.42857142857143 72, 49.33333333333334 72, 49.23809523809524 72, 49.14285714285715 72, 49.04761904761905 72, 48.95238095238095 72, 48.85714285714285 72, 48.76190476190476 72, 48.66666666666666 72, 48.57142857142857 72, 48.47619047619047 72, 48.38095238095238 72, 48.28571428571428 72, 48.19047619047619 72, 48.09523809523809 72, 48 72))"
1406,14,06,14-06,"POLYGON ((50 72, 50 72.09090909090909, 50 72.18181818181819, 50 72.27272727272727, 50 72.36363636363636, 50 72.45454545454545, 50 72.54545454545455, 50 72.63636363636364, 50 72.72727272727273, 50 72.81818181818181, 50 72.90909090909091, 50 73, 50.09523809523809 73, 50.19047619047619 73, 50.28571428571428 73, 50.38095238095238 73, 50.47619047619047 73, 50.57142857142857 73, 50.66666666666666 73, 50.76190476190476 73, 50.85714285714285 73, 50.95238095238095 73, 51.04761904761905 73, 51.14285714285715 73, 51.23809523809524 73, 51.33333333333334 73, 51.42857142857143 73, 51.52380952380953 73, 51.61904761904762 73, 51.71428571428572 73, 51.80952380952381 73, 51.90476190476191 73, 52 73, 52 72.90909090909091, 52 72.81818181818181, 52 72.72727272727273, 52 72.63636363636364, 52 72.54545454545455, 52 72.45454545454545, 52 72.36363636363636, 52 72.27272727272727, 52 72.18181818181819, 52 72.09090909090909, 52 72, 51.90476190476191 72, 51.80952380952381 72, 51.71428571428572 72, 51.61904761904762 72, 51.52380952380953 72, 51.42857142857143 72, 51.33333333333334 72, 51.23809523809524 72, 51.14285714285715 72, 51.04761904761905 72, 50.95238095238095 72, 50.85714285714285 72, 50.76190476190476 72, 50.66666666666666 72, 50.57142857142857 72, 50.47619047619047 72, 50.38095238095238 72, 50.28571428571428 72, 50.19047619047619 72, 50.09523809523809 72, 50 72))"
1415,14,15,14-15,"POLYGON ((52 72, 52 72.09090909090909, 52 72.18181818181819, 52 72.27272727272727, 52 72.36363636363636, 52 72.45454545454545, 52 72.54545454545455, 52 72.63636363636364, 52 72.72727272727273, 52 72.81818181818181, 52 72.90909090909091, 52 73, 52.09523809523809 73, 52.19047619047619 73, 52.28571428571428 73, 52.38095238095238 73, 52.47619047619047 73, 52.57142857142857 73, 52.66666666666666 73, 52.76190476190476 73, 52.85714285714285 73, 52.95238095238095 73, 53.04761904761905 73, 53.14285714285715 73, 53.23809523809524 73, 53.33333333333334 73, 53.42857142857143 73, 53.52380952380953 73, 53.61904761904762 73, 53.71428571428572 73, 53.80952380952381 73, 53.90476190476191 73, 54 73, 54 72.90909090909091, 54 72.81818181818181, 54 72.72727272727273, 54 72.63636363636364, 54 72.54545454545455, 54 72.45454545454545, 54 72.36363636363636, 54 72.27272727272727, 54 72.18181818181819, 54 72.09090909090909, 54 72, 53.90476190476191 72, 53.80952380952381 72, 53.71428571428572 72, 53.61904761904762 72, 53.52380952380953 72, 53.42857142857143 72, 53.33333333333334 72, 53.23809523809524 72, 53.14285714285715 72, 53.04761904761905 72, 52.95238095238095 72, 52.85714285714285 72, 52.76190476190476 72, 52.66666666666666 72, 52.57142857142857 72, 52.47619047619047 72, 52.38095238095238 72, 52.28571428571428 72, 52.19047619047619 72, 52.09523809523809 72, 52 72))"
1407,14,07,14-07,"POLYGON ((40 73, 40 73.09090909090909, 40 73.18181818181819, 40 73.27272727272727, 40 73.36363636363636, 40 73.45454545454545, 40 73.54545454545455, 40 73.63636363636364, 40 73.72727272727273, 40 73.81818181818181, 40 73.90909090909091, 40 74, 40.09523809523809 74, 40.19047619047619 74, 40.28571428571428 74, 40.38095238095238 74, 40.47619047619047 74, 40.57142857142857 74, 40.66666666666666 74, 40.76190476190476 74, 40.85714285714285 74, 40.95238095238095 74, 41.04761904761905 74, 41.14285714285715 74, 41.23809523809524 74, 41.33333333333334 74, 41.42857142857143 74, 41.52380952380953 74, 41.61904761904762 74, 41.71428571428572 74, 41.80952380952381 74, 41.90476190476191 74, 42 74, 42 73.90909090909091, 42 73.81818181818181, 42 73.72727272727273, 42 73.63636363636364, 42 73.54545454545455, 42 73.45454545454545, 42 73.36363636363636, 42 73.27272727272727, 42 73.18181818181819, 42 73.09090909090909, 42 73, 41.90476190476191 73, 41.80952380952381 73, 41.71428571428572 73, 41.61904761904762 73, 41.52380952380953 73, 41.42857142857143 73, 41.33333333333334 73, 41.23809523809524 73, 41.14285714285715 73, 41.04761904761905 73, 40.95238095238095 73, 40.85714285714285 73, 40.76190476190476 73, 40.66666666666666 73, 40.57142857142857 73, 40.47619047619047 73, 40.38095238095238 73, 40.28571428571428 73, 40.19047619047619 73, 40.09523809523809 73, 40 73))"
1408,14,08,14-08,"POLYGON ((42 73, 42 73.09090909090909, 42 73.18181818181819, 42 73.27272727272727, 42 73.36363636363636, 42 73.45454545454545, 42 73.54545454545455, 42 73.63636363636364, 42 73.72727272727273, 42 73.81818181818181, 42 73.90909090909091, 42 74, 42.09523809523809 74, 42.19047619047619 74, 42.28571428571428 74, 42.38095238095238 74, 42.47619047619047 74, 42.57142857142857 74, 42.66666666666666 74, 42.76190476190476 74, 42.85714285714285 74, 42.95238095238095 74, 43.04761904761905 74, 43.14285714285715 74, 43.23809523809524 74, 43.33333333333334 74, 43.42857142857143 74, 43.52380952380953 74, 43.61904761904762 74, 43.71428571428572 74, 43.80952380952381 74, 43.90476190476191 74, 44 74, 44 73.90909090909091, 44 73.81818181818181, 44 73.72727272727273, 44 73.63636363636364, 44 73.54545454545455, 44 73.45454545454545, 44 73.36363636363636, 44 73.27272727272727, 44 73.18181818181819, 44 73.09090909090909, 44 73, 43.90476190476191 73, 43.80952380952381 73, 43.71428571428572 73, 43.61904761904762 73, 43.52380952380953 73, 43.42857142857143 73, 43.33333333333334 73, 43.23809523809524 73, 43.14285714285715 73, 43.04761904761905 73, 42.95238095238095 73, 42.85714285714285 73, 42.76190476190476 73, 42.66666666666666 73, 42.57142857142857 73, 42.47619047619047 73, 42.38095238095238 73, 42.28571428571428 73, 42.19047619047619 73, 42.09523809523809 73, 42 73))"
1409,14,09,14-09,"POLYGON ((44 73, 44 73.09090909090909, 44 73.18181818181819, 44 73.27272727272727, 44 73.36363636363636, 44 73.45454545454545, 44 73.54545454545455, 44 73.63636363636364, 44 73.72727272727273, 44 73.81818181818181, 44 73.90909090909091, 44 74, 44.09523809523809 74, 44.19047619047619 74, 44.28571428571428 74, 44.38095238095238 74, 44.47619047619047 74, 44.57142857142857 74, 44.66666666666666 74, 44.76190476190476 74, 44.85714285714285 74, 44.95238095238095 74, 45.04761904761905 74, 45.14285714285715 74, 45.23809523809524 74, 45.33333333333334 74, 45.42857142857143 74, 45.52380952380953 74, 45.61904761904762 74, 45.71428571428572 74, 45.80952380952381 74, 45.90476190476191 74, 46 74, 46 73.90909090909091, 46 73.81818181818181, 46 73.72727272727273, 46 73.63636363636364, 46 73.54545454545455, 46 73.45454545454545, 46 73.36363636363636, 46 73.27272727272727, 46 73.18181818181819, 46 73.09090909090909, 46 73, 45.90476190476191 73, 45.80952380952381 73, 45.71428571428572 73, 45.61904761904762 73, 45.52380952380953 73, 45.42857142857143 73, 45.33333333333334 73, 45.23809523809524 73, 45.14285714285715 73, 45.04761904761905 73, 44.95238095238095 73, 44.85714285714285 73, 44.76190476190476 73, 44.66666666666666 73, 44.57142857142857 73, 44.47619047619047 73, 44.38095238095238 73, 44.28571428571428 73, 44.19047619047619 73, 44.09523809523809 73, 44 73))"
1410,14,10,14-10,"POLYGON ((46 73, 46 73.09090909090909, 46 73.18181818181819, 46 73.27272727272727, 46 73.36363636363636, 46 73.45454545454545, 46 73.54545454545455, 46 73.63636363636364, 46 73.72727272727273, 46 73.81818181818181, 46 73.90909090909091, 46 74, 46.09523809523809 74, 46.19047619047619 74, 46.28571428571428 74, 46.38095238095238 74, 46.47619047619047 74, 46.57142857142857 74, 46.66666666666666 74, 46.76190476190476 74, 46.85714285714285 74, 46.95238095238095 74, 47.04761904761905 74, 47.14285714285715 74, 47.23809523809524 74, 47.33333333333334 74, 47.42857142857143 74, 47.52380952380953 74, 47.61904761904762 74, 47.71428571428572 74, 47.80952380952381 74, 47.90476190476191 74, 48 74, 48 73.90909090909091, 48 73.81818181818181, 48 73.72727272727273, 48 73.63636363636364, 48 73.54545454545455, 48 73.45454545454545, 48 73.36363636363636, 48 73.27272727272727, 48 73.18181818181819, 48 73.09090909090909, 48 73, 47.90476190476191 73, 47.80952380952381 73, 47.71428571428572 73, 47.61904761904762 73, 47.52380952380953 73, 47.42857142857143 73, 47.33333333333334 73, 47.23809523809524 73, 47.14285714285715 73, 47.04761904761905 73, 46.95238095238095 73, 46.85714285714285 73, 46.76190476190476 73, 46.66666666666666 73, 46.57142857142857 73, 46.47619047619047 73, 46.38095238095238 73, 46.28571428571428 73, 46.19047619047619 73, 46.09523809523809 73, 46 73))"
1411,14,11,14-11,"POLYGON ((48 73, 48 73.09090909090909, 48 73.18181818181819, 48 73.27272727272727, 48 73.36363636363636, 48 73.45454545454545, 48 73.54545454545455, 48 73.63636363636364, 48 73.72727272727273, 48 73.81818181818181, 48 73.90909090909091, 48 74, 48.09523809523809 74, 48.19047619047619 74, 48.28571428571428 74, 48.38095238095238 74, 48.47619047619047 74, 48.57142857142857 74, 48.66666666666666 74, 48.76190476190476 74, 48.85714285714285 74, 48.95238095238095 74, 49.04761904761905 74, 49.14285714285715 74, 49.23809523809524 74, 49.33333333333334 74, 49.42857142857143 74, 49.52380952380953 74, 49.61904761904762 74, 49.71428571428572 74, 49.80952380952381 74, 49.90476190476191 74, 50 74, 50 73.90909090909091, 50 73.81818181818181, 50 73.72727272727273, 50 73.63636363636364, 50 73.54545454545455, 50 73.45454545454545, 50 73.36363636363636, 50 73.27272727272727, 50 73.18181818181819, 50 73.09090909090909, 50 73, 49.90476190476191 73, 49.80952380952381 73, 49.71428571428572 73, 49.61904761904762 73, 49.52380952380953 73, 49.42857142857143 73, 49.33333333333334 73, 49.23809523809524 73, 49.14285714285715 73, 49.04761904761905 73, 48.95238095238095 73, 48.85714285714285 73, 48.76190476190476 73, 48.66666666666666 73, 48.57142857142857 73, 48.47619047619047 73, 48.38095238095238 73, 48.28571428571428 73, 48.19047619047619 73, 48.09523809523809 73, 48 73))"
1412,14,12,14-12,"POLYGON ((50 73, 50 73.09090909090909, 50 73.18181818181819, 50 73.27272727272727, 50 73.36363636363636, 50 73.45454545454545, 50 73.54545454545455, 50 73.63636363636364, 50 73.72727272727273, 50 73.81818181818181, 50 73.90909090909091, 50 74, 50.09523809523809 74, 50.19047619047619 74, 50.28571428571428 74, 50.38095238095238 74, 50.47619047619047 74, 50.57142857142857 74, 50.66666666666666 74, 50.76190476190476 74, 50.85714285714285 74, 50.95238095238095 74, 51.04761904761905 74, 51.14285714285715 74, 51.23809523809524 74, 51.33333333333334 74, 51.42857142857143 74, 51.52380952380953 74, 51.61904761904762 74, 51.71428571428572 74, 51.80952380952381 74, 51.90476190476191 74, 52 74, 52 73.90909090909091, 52 73.81818181818181, 52 73.72727272727273, 52 73.63636363636364, 52 73.54545454545455, 52 73.45454545454545, 52 73.36363636363636, 52 73.27272727272727, 52 73.18181818181819, 52 73.09090909090909, 52 73, 51.90476190476191 73, 51.80952380952381 73, 51.71428571428572 73, 51.61904761904762 73, 51.52380952380953 73, 51.42857142857143 73, 51.33333333333334 73, 51.23809523809524 73, 51.14285714285715 73, 51.04761904761905 73, 50.95238095238095 73, 50.85714285714285 73, 50.76190476190476 73, 50.66666666666666 73, 50.57142857142857 73, 50.47619047619047 73, 50.38095238095238 73, 50.28571428571428 73, 50.19047619047619 73, 50.09523809523809 73, 50 73))"
1413,14,13,14-13,"POLYGON ((52 73, 52 73.09090909090909, 52 73.18181818181819, 52 73.27272727272727, 52 73.36363636363636, 52 73.45454545454545, 52 73.54545454545455, 52 73.63636363636364, 52 73.72727272727273, 52 73.81818181818181, 52 73.90909090909091, 52 74, 52.09523809523809 74, 52.19047619047619 74, 52.28571428571428 74, 52.38095238095238 74, 52.47619047619047 74, 52.57142857142857 74, 52.66666666666666 74, 52.76190476190476 74, 52.85714285714285 74, 52.95238095238095 74, 53.04761904761905 74, 53.14285714285715 74, 53.23809523809524 74, 53.33333333333334 74, 53.42857142857143 74, 53.52380952380953 74, 53.61904761904762 74, 53.71428571428572 74, 53.80952380952381 74, 53.90476190476191 74, 54 74, 54 73.90909090909091, 54 73.81818181818181, 54 73.72727272727273, 54 73.63636363636364, 54 73.54545454545455, 54 73.45454545454545, 54 73.36363636363636, 54 73.27272727272727, 54 73.18181818181819, 54 73.09090909090909, 54 73, 53.90476190476191 73, 53.80952380952381 73, 53.71428571428572 73, 53.61904761904762 73, 53.52380952380953 73, 53.42857142857143 73, 53.33333333333334 73, 53.23809523809524 73, 53.14285714285715 73, 53.04761904761905 73, 52.95238095238095 73, 52.85714285714285 73, 52.76190476190476 73, 52.66666666666666 73, 52.57142857142857 73, 52.47619047619047 73, 52.38095238095238 73, 52.28571428571428 73, 52.19047619047619 73, 52.09523809523809 73, 52 73))"
1414,14,14,14-14,"POLYGON ((54 73, 54 73.09090909090909, 54 73.18181818181819, 54 73.27272727272727, 54 73.36363636363636, 54 73.45454545454545, 54 73.54545454545455, 54 73.63636363636364, 54 73.72727272727273, 54 73.81818181818181, 54 73.90909090909091, 54 74, 54.09523809523809 74, 54.19047619047619 74, 54.28571428571428 74, 54.38095238095238 74, 54.47619047619047 74, 54.57142857142857 74, 54.66666666666666 74, 54.76190476190476 74, 54.85714285714285 74, 54.95238095238095 74, 55.04761904761905 74, 55.14285714285715 74, 55.23809523809524 74, 55.33333333333334 74, 55.42857142857143 74, 55.52380952380953 74, 55.61904761904762 74, 55.71428571428572 74, 55.80952380952381 74, 55.90476190476191 74, 56 74, 56 73.90909090909091, 56 73.81818181818181, 56 73.72727272727273, 56 73.63636363636364, 56 73.54545454545455, 56 73.45454545454545, 56 73.36363636363636, 56 73.27272727272727, 56 73.18181818181819, 56 73.09090909090909, 56 73, 55.90476190476191 73, 55.80952380952381 73, 55.71428571428572 73, 55.61904761904762 73, 55.52380952380953 73, 55.42857142857143 73, 55.33333333333334 73, 55.23809523809524 73, 55.14285714285715 73, 55.04761904761905 73, 54.95238095238095 73, 54.85714285714285 73, 54.76190476190476 73, 54.66666666666666 73, 54.57142857142857 73, 54.47619047619047 73, 54.38095238095238 73, 54.28571428571428 73, 54.19047619047619 73, 54.09523809523809 73, 54 73))"
1502,15,02,15-02,"POLYGON ((30 74, 30 74.09090909090909, 30 74.18181818181819, 30 74.27272727272727, 30 74.36363636363636, 30 74.45454545454545, 30 74.54545454545455, 30 74.63636363636364, 30 74.72727272727273, 30 74.81818181818181, 30 74.90909090909091, 30 75, 30.09523809523809 75, 30.19047619047619 75, 30.28571428571428 75, 30.38095238095238 75, 30.47619047619047 75, 30.57142857142857 75, 30.66666666666667 75, 30.76190476190476 75, 30.85714285714286 75, 30.95238095238095 75, 31.04761904761905 75, 31.14285714285714 75, 31.23809523809524 75, 31.33333333333333 75, 31.42857142857143 75, 31.52380952380953 75, 31.61904761904762 75, 31.71428571428572 75, 31.80952380952381 75, 31.90476190476191 75, 32 75, 32 74.90909090909091, 32 74.81818181818181, 32 74.72727272727273, 32 74.63636363636364, 32 74.54545454545455, 32 74.45454545454545, 32 74.36363636363636, 32 74.27272727272727, 32 74.18181818181819, 32 74.09090909090909, 32 74, 31.90476190476191 74, 31.80952380952381 74, 31.71428571428572 74, 31.61904761904762 74, 31.52380952380953 74, 31.42857142857143 74, 31.33333333333333 74, 31.23809523809524 74, 31.14285714285714 74, 31.04761904761905 74, 30.95238095238095 74, 30.85714285714286 74, 30.76190476190476 74, 30.66666666666667 74, 30.57142857142857 74, 30.47619047619047 74, 30.38095238095238 74, 30.28571428571428 74, 30.19047619047619 74, 30.09523809523809 74, 30 74))"
1503,15,03,15-03,"POLYGON ((32 74, 32 74.09090909090909, 32 74.18181818181819, 32 74.27272727272727, 32 74.36363636363636, 32 74.45454545454545, 32 74.54545454545455, 32 74.63636363636364, 32 74.72727272727273, 32 74.81818181818181, 32 74.90909090909091, 32 75, 32.09523809523809 75, 32.19047619047619 75, 32.28571428571428 75, 32.38095238095238 75, 32.47619047619047 75, 32.57142857142857 75, 32.66666666666666 75, 32.76190476190476 75, 32.85714285714285 75, 32.95238095238095 75, 33.04761904761905 75, 33.14285714285715 75, 33.23809523809524 75, 33.33333333333334 75, 33.42857142857143 75, 33.52380952380953 75, 33.61904761904762 75, 33.71428571428572 75, 33.80952380952381 75, 33.90476190476191 75, 34 75, 34 74.90909090909091, 34 74.81818181818181, 34 74.72727272727273, 34 74.63636363636364, 34 74.54545454545455, 34 74.45454545454545, 34 74.36363636363636, 34 74.27272727272727, 34 74.18181818181819, 34 74.09090909090909, 34 74, 33.90476190476191 74, 33.80952380952381 74, 33.71428571428572 74, 33.61904761904762 74, 33.52380952380953 74, 33.42857142857143 74, 33.33333333333334 74, 33.23809523809524 74, 33.14285714285715 74, 33.04761904761905 74, 32.95238095238095 74, 32.85714285714285 74, 32.76190476190476 74, 32.66666666666666 74, 32.57142857142857 74, 32.47619047619047 74, 32.38095238095238 74, 32.28571428571428 74, 32.19047619047619 74, 32.09523809523809 74, 32 74))"
1504,15,04,15-04,"POLYGON ((34 74, 34 74.09090909090909, 34 74.18181818181819, 34 74.27272727272727, 34 74.36363636363636, 34 74.45454545454545, 34 74.54545454545455, 34 74.63636363636364, 34 74.72727272727273, 34 74.81818181818181, 34 74.90909090909091, 34 75, 34.09523809523809 75, 34.19047619047619 75, 34.28571428571428 75, 34.38095238095238 75, 34.47619047619047 75, 34.57142857142857 75, 34.66666666666666 75, 34.76190476190476 75, 34.85714285714285 75, 34.95238095238095 75, 35.04761904761905 75, 35.14285714285715 75, 35.23809523809524 75, 35.33333333333334 75, 35.42857142857143 75, 35.52380952380953 75, 35.61904761904762 75, 35.71428571428572 75, 35.80952380952381 75, 35.90476190476191 75, 36 75, 36 74.90909090909091, 36 74.81818181818181, 36 74.72727272727273, 36 74.63636363636364, 36 74.54545454545455, 36 74.45454545454545, 36 74.36363636363636, 36 74.27272727272727, 36 74.18181818181819, 36 74.09090909090909, 36 74, 35.90476190476191 74, 35.80952380952381 74, 35.71428571428572 74, 35.61904761904762 74, 35.52380952380953 74, 35.42857142857143 74, 35.33333333333334 74, 35.23809523809524 74, 35.14285714285715 74, 35.04761904761905 74, 34.95238095238095 74, 34.85714285714285 74, 34.76190476190476 74, 34.66666666666666 74, 34.57142857142857 74, 34.47619047619047 74, 34.38095238095238 74, 34.28571428571428 74, 34.19047619047619 74, 34.09523809523809 74, 34 74))"
1505,15,05,15-05,"POLYGON ((36 74, 36 74.09090909090909, 36 74.18181818181819, 36 74.27272727272727, 36 74.36363636363636, 36 74.45454545454545, 36 74.54545454545455, 36 74.63636363636364, 36 74.72727272727273, 36 74.81818181818181, 36 74.90909090909091, 36 75, 36.09523809523809 75, 36.19047619047619 75, 36.28571428571428 75, 36.38095238095238 75, 36.47619047619047 75, 36.57142857142857 75, 36.66666666666666 75, 36.76190476190476 75, 36.85714285714285 75, 36.95238095238095 75, 37.04761904761905 75, 37.14285714285715 75, 37.23809523809524 75, 37.33333333333334 75, 37.42857142857143 75, 37.52380952380953 75, 37.61904761904762 75, 37.71428571428572 75, 37.80952380952381 75, 37.90476190476191 75, 38 75, 38 74.90909090909091, 38 74.81818181818181, 38 74.72727272727273, 38 74.63636363636364, 38 74.54545454545455, 38 74.45454545454545, 38 74.36363636363636, 38 74.27272727272727, 38 74.18181818181819, 38 74.09090909090909, 38 74, 37.90476190476191 74, 37.80952380952381 74, 37.71428571428572 74, 37.61904761904762 74, 37.52380952380953 74, 37.42857142857143 74, 37.33333333333334 74, 37.23809523809524 74, 37.14285714285715 74, 37.04761904761905 74, 36.95238095238095 74, 36.85714285714285 74, 36.76190476190476 74, 36.66666666666666 74, 36.57142857142857 74, 36.47619047619047 74, 36.38095238095238 74, 36.28571428571428 74, 36.19047619047619 74, 36.09523809523809 74, 36 74))"
1506,15,06,15-06,"POLYGON ((38 74, 38 74.09090909090909, 38 74.18181818181819, 38 74.27272727272727, 38 74.36363636363636, 38 74.45454545454545, 38 74.54545454545455, 38 74.63636363636364, 38 74.72727272727273, 38 74.81818181818181, 38 74.90909090909091, 38 75, 38.09523809523809 75, 38.19047619047619 75, 38.28571428571428 75, 38.38095238095238 75, 38.47619047619047 75, 38.57142857142857 75, 38.66666666666666 75, 38.76190476190476 75, 38.85714285714285 75, 38.95238095238095 75, 39.04761904761905 75, 39.14285714285715 75, 39.23809523809524 75, 39.33333333333334 75, 39.42857142857143 75, 39.52380952380953 75, 39.61904761904762 75, 39.71428571428572 75, 39.80952380952381 75, 39.90476190476191 75, 40 75, 40 74.90909090909091, 40 74.81818181818181, 40 74.72727272727273, 40 74.63636363636364, 40 74.54545454545455, 40 74.45454545454545, 40 74.36363636363636, 40 74.27272727272727, 40 74.18181818181819, 40 74.09090909090909, 40 74, 39.90476190476191 74, 39.80952380952381 74, 39.71428571428572 74, 39.61904761904762 74, 39.52380952380953 74, 39.42857142857143 74, 39.33333333333334 74, 39.23809523809524 74, 39.14285714285715 74, 39.04761904761905 74, 38.95238095238095 74, 38.85714285714285 74, 38.76190476190476 74, 38.66666666666666 74, 38.57142857142857 74, 38.47619047619047 74, 38.38095238095238 74, 38.28571428571428 74, 38.19047619047619 74, 38.09523809523809 74, 38 74))"
1508,15,08,15-08,"POLYGON ((30 75, 30 75.09090909090909, 30 75.18181818181819, 30 75.27272727272727, 30 75.36363636363636, 30 75.45454545454545, 30 75.54545454545455, 30 75.63636363636364, 30 75.72727272727273, 30 75.81818181818181, 30 75.90909090909091, 30 76, 30.09523809523809 76, 30.19047619047619 76, 30.28571428571428 76, 30.38095238095238 76, 30.47619047619047 76, 30.57142857142857 76, 30.66666666666667 76, 30.76190476190476 76, 30.85714285714286 76, 30.95238095238095 76, 31.04761904761905 76, 31.14285714285714 76, 31.23809523809524 76, 31.33333333333333 76, 31.42857142857143 76, 31.52380952380953 76, 31.61904761904762 76, 31.71428571428572 76, 31.80952380952381 76, 31.90476190476191 76, 32 76, 32 75.90909090909091, 32 75.81818181818181, 32 75.72727272727273, 32 75.63636363636364, 32 75.54545454545455, 32 75.45454545454545, 32 75.36363636363636, 32 75.27272727272727, 32 75.18181818181819, 32 75.09090909090909, 32 75, 31.90476190476191 75, 31.80952380952381 75, 31.71428571428572 75, 31.61904761904762 75, 31.52380952380953 75, 31.42857142857143 75, 31.33333333333333 75, 31.23809523809524 75, 31.14285714285714 75, 31.04761904761905 75, 30.95238095238095 75, 30.85714285714286 75, 30.76190476190476 75, 30.66666666666667 75, 30.57142857142857 75, 30.47619047619047 75, 30.38095238095238 75, 30.28571428571428 75, 30.19047619047619 75, 30.09523809523809 75, 30 75))"
